"Id","IdString","Name","Lim","Rarity","Collection","Energy","Power","EffectDescription","Effect","CombosWithTODO"
"18","OMA024","Monk Seal","1","Epic","Ocean Mammals","4","30","When drawn, give your Ocean Mammals cards +10 Power until played and give this card -10 Power for the rest of the game.","[TriggerTime:DRAW] [Target:(your Ocean Mammals cards)] [Effect:POWER, Value:+10] [Duration:UNTIL_PLAYED] [Target:THIS] [Effect:POWER, Value:-10] [Duration:PERMANENT]","[Ocean Mammals]"
"19","OMA023","Narwhal","0","Legendary","Ocean Mammals","6","60","When drawn, give a random card in your Opponent's hand -40 Power this turn.","[TriggerTime:DRAW] [Target:(a random card in your Opponent's hand)] [Effect:POWER, Value:-40] [Duration:END_TURN] ","[]"
"20","OMA022","Irrawaddy Dolphin","0","Rare","Ocean Mammals","2","23","When played, give your Raging Rivers cards +6 Power for the rest of the game.","[TriggerTime:PLAY] [Target:(your Raging Rivers cards)] [Effect:POWER, Value:+6] [Duration:PERMANENT]","[Raging Rivers]"
"21","OMA029","Guadalupe Fur Seal","1","Epic","Ocean Mammals","3","26","When drawn, give your Opponent -4 Power/Turn for the rest of the game.","[TriggerTime:DRAW] [Target:OTHER] [Effect:POWER_PER_TURN, Value:-4] [Duration:PERMANENT]","[]"
"22","OMA027","Bearded Seal","0","Epic","Ocean Mammals","4","42","When played, give your Ice Age cards +25 Power until played.","[TriggerTime:PLAY] [Target:(your Ice Age cards)] [Effect:POWER, Value:+25] [Duration:UNTIL_PLAYED]","[Ice Age]"
"23","OMA028","Bowhead Whale","0","Rare","Ocean Mammals","2","14","When returned to deck, if you won this turn, reduce the Energy cost of your remaining cards in hand by 1 this round.","[TriggerTime:RETURN] [Condition:TURN_STATE, Value:(won)] [Effect:ENERGY, Value:-1] [Target:(your remaining cards in hand)] [Duration:END_ROUND] ","[]"
"24","OMA030","Hector""s Dolphin","0","Common","Ocean Mammals","4","39","When played, gain +10 Power/Turn this turn & next.","[TriggerTime:PLAY] [Target:SELF] [Effect:POWER_PER_TURN, Value:+10] [Duration:TIMER, Value:1] ","[]"
"25","OMA025","Fin Whale","0","Common","Ocean Mammals","6","100","When drawn give your other cards -100 Power this turn.","[TriggerTime:DRAW] [Target:(your other cards)] [Effect:POWER, Value:-100] [Duration:END_TURN] ","[]"
"26","OMA031","Minke Whale","1","Epic","Ocean Mammals","4","32","When returned to your deck, reduce the Energy cost of your Ocean Mammals by 1 until played.","[TriggerTime:RETURN] [Effect:ENERGY, Value:-1] [Target:(your Ocean Mammals)] [Duration:UNTIL_PLAYED]","[Ocean Mammals]"
"27","OMA032","Commerson""s Dolphin","1","Epic","Ocean Mammals","6","57","When drawn, if your deck contains Giant Panda, give your Crustaceans, Cephalopods, Feisty Fish and Fabulous Fish cards +13 Power until played.","[TriggerTime:DRAW] [Condition:DECK_CONTAINS, Who:SELF, Where:CARDS_IN_DECK, CompareTo:(Giant Panda)] [Target:(your Crustaceans, Cephalopods, Feisty Fish and Fabulous Fish cards)] [Effect:POWER, Value:+13] [Duration:UNTIL_PLAYED]","[Crustaceans]"
"28","OMA034","Dusky Dolphin","0","Legendary","Ocean Mammals","3","100","While in your hand, at the start of each turn, increase the Energy cost of this card by 2 until played.","[TriggerTime:START] [Effect:ENERGY, Value:(+2)] [Target:(this)] [Duration:UNTIL_PLAYED]","[]"
"29","OWA001","RMS Lusitania","0","Common","Riding the Waves!","4","34","NULL","NULL","[]"
"30","OWA002","Titanic","0","Legendary","Riding the Waves!","4","6","When played, all Riding the Waves cards have +30 Power this turn.","[TriggerTime:PLAY] [Target:[Who:BOTH, Where:CARDS_IN_HAND, CompareTo:(Riding the Waves)]] [Effect:POWER, Value:+30] [Duration:END_TURN] ","[]"
"31","OWA003","USS Texas","0","Rare","Riding the Waves!","4","30","When returned to your deck, gain +3 Power/Turn for the rest of the game.","[TriggerTime:RETURN] [Target:SELF] [Effect:POWER_PER_TURN, Value:+3] [Duration:PERMANENT]","[]"
"32","OWA004","Mary Rose","1","Rare","Riding the Waves!","7","58","When drawn, reduce the Energy cost of your Riding the Waves cards by 1 for the rest of this round.","[TriggerTime:DRAW] [Effect:ENERGY, Value:-1] [Target:(your Riding the Waves cards)] [Duration:END_ROUND] ","[Riding the Waves!]"
"33","OWA005","HMS Victory","1","Rare","Riding the Waves!","7","42","When played, if you win the turn, gain +3 Energy.","[TriggerTime:PLAY] [Condition:TURN_STATE, Value:(win)] [Target:SELF] [Effect:ENERGY, Value:+3]","[]"
"34","OWA006","Fram","0","Common","Riding the Waves!","4","32","When played on the first turn of a round, this card has +15 Power.","[TriggerTime:PLAY] [Condition:TURN_IN_ROUND, Value:1] [Effect:POWER, Value:+15] [Target:THIS] [Duration:END_TURN] ","[]"
"35","OWA007","The Mayflower","0","Rare","Riding the Waves!","6","67","NULL","NULL","[]"
"36","OWA008","The Golden Hinde","0","Epic","Riding the Waves!","5","29","When played, if you win the turn, gain +10 Power/Turn until game end.","[TriggerTime:PLAY] [Condition:TURN_STATE, Value:(win)] [Target:SELF] [Effect:POWER_PER_TURN, Value:+10] [Duration:PERMANENT] ","[]"
"37","OWA010","Santa María","0","Common","Riding the Waves!","5","45","NULL","NULL","[]"
"38","OWA012","Nao Victoria","0","Rare","Riding the Waves!","6","58","When played, your Solar System cards have +18 Power this turn.","[TriggerTime:PLAY] [Target:(Solar System)] [Effect:POWER, Value:+18] [Duration:END_TURN] ","[Solar System]"
"39","OWA013","USS Constitution","0","Epic","Riding the Waves!","5","37","When played, if you win the turn, gain +3 energy.","[TriggerTime:PLAY] [Condition:TURN_STATE, Value:(win)] [Target:SELF] [Effect:ENERGY, Value:+3]","[]"
"40","OWA014","Leif Erikson","1","Legendary","Riding the Waves!","3","28","When drawn, if you are losing the round, gain +4 Energy.","[TriggerTime:DRAW] [Condition:ROUND_STATE, Value:Loss] [Target:SELF] [Effect:ENERGY, Value:+4]","[]"
"41","OWA017","The Octavius","0","Common","Riding the Waves!","7","91","When drawn, Lock this card until the end of the round.","[TriggerTime:DRAW] [Effect:LOCK] [Target:(this card)] [Duration:END_ROUND]","[]"
"42","OWA018","Flying Cloud","0","Rare","Riding the Waves!","5","0","When returned to your deck, give this card +100 Power for the rest of the game.","[TriggerTime:RETURN] [Target:THIS] [Effect:POWER, Value:+100] [Duration:PERMANENT]","[]"
"43","OWA016","HMS Beagle","0","Legendary","Riding the Waves!","6","48","When drawn, gain +1 Energy/Turn for the rest of the game. When played, if you're winning the round, give your Life on Land cards +12 Power this turn & next.","[TriggerTime:DRAW] [Target:SELF] [Effect:ENERGY_PER_TURN, Value:+1] [Duration:PERMANENT] [TriggerTime:PLAY] [Condition:ROUND_STATE, Value:Win] [Target:(your Life on Land cards)] [Effect:POWER, Value:+12] [Duration:TIMER, Value:1] ","[Life on Land]"
"44","OWA021","Pesse Canoe","0","Rare","Riding the Waves!","7","55","When drawn, give your Riding The Waves cards +15 Power until played.","[TriggerTime:DRAW] [Target:(your Riding The Waves cards)] [Effect:POWER, Value:+15] [Duration:UNTIL_PLAYED]","[Riding the Waves!]"
"45","OWA023","Flor de la Mar","0","Legendary","Riding the Waves!","3","15","When returned to your deck, if your deck contains 9 or more Oceans & Seas cards, give your Lost Treasures cards, wherever they are 15 Power for three turns.","[TriggerTime:RETURN] [Condition:DECK_CONTAINS, Value:>=9, CountEach:[Who:SELF, Where:CARDS_IN_DECK, CompareTo:(Oceans & Seas cards)]] [Target:(your Lost Treasures cards, wherever they are)] [Effect:POWER, Value:15] [Duration:TIMER, Values:(three)]","[Lost Treasures]"
"46","OWA024","Adventure Galley","1","Epic","Riding the Waves!","8","68","When returned to your deck, if your deck contains Captain Kidd, give your Oceans & Seas cards +15 Power for the rest of the round.","[TriggerTime:RETURN] [Condition:DECK_CONTAINS, Who:SELF, Where:CARDS_IN_DECK, CompareTo:(Captain Kidd)] [Target:(your Oceans & Seas cards)] [Effect:POWER, Value:+15] [Duration:END_ROUND]","[Oceans & Seas]"
"47","LRE001","Bushmaster","0","Common","Reptiles","2","14","When played, your Opponent has -4 Power/Turn until the end of this round.","[TriggerTime:PLAY] [Target:OTHER] [Effect:POWER_PER_TURN, Value:-4] [Duration:END_ROUND]","[]"
"48","LRE002","Caiman Lizard","0","Common","Reptiles","7","63","NULL","NULL","[]"
"49","LRE005","Komodo Dragon","0","Common","Reptiles","2","18","NULL","NULL","[]"
"50","LRE008","Leopard Gecko","0","Common","Reptiles","4","37","NULL","NULL","[]"
"51","LRE010","Panther Chameleon","0","Common","Reptiles","5","37","When played, your Life on Land cards have +5 Power this turn & next.","[TriggerTime:PLAY] [Target:(Life on Land)] [Effect:POWER, Value:+5] [Duration:TIMER, Value:1] ","[Life on Land]"
"52","LRE022","Matamata Turtle","0","Common","Reptiles","4","27","NULL","NULL","[]"
"53","LRE004","Veiled Chameleon","0","Common","Reptiles","8","67","NULL","NULL","[]"
"54","LRE009","Softshell Turtle","0","Common","Reptiles","1","8","NULL","NULL","[]"
"55","LRE007","Alligator Snapping Turtle","1","Rare","Reptiles","4","14","When played, your Reptiles cards have +20 Power this turn.","[TriggerTime:PLAY] [Target:(Reptiles)] [Effect:POWER, Value:+20] [Duration:END_TURN] ","[Reptiles]"
"56","LRE013","Galapagos Land Iguana","1","Epic","Reptiles","2","18","When played, your Sea Birds cards have +25 Power this turn.","[TriggerTime:PLAY] [Target:(Sea Birds)] [Effect:POWER, Value:+25] [Duration:END_TURN] ","[Sea Birds]"
"57","LRE017","Fiddle-string Snake","0","Rare","Reptiles","6","33","When returned to your deck, gain +6 Power/Turn for the rest of the game.","[TriggerTime:RETURN] [Target:SELF] [Effect:POWER_PER_TURN, Value:+6] [Duration:PERMANENT]","[]"
"58","LRE014","Atheris hispida","1","Epic","Reptiles","7","74","When drawn, BURN (22) a random card in your Opponent's hand until played, and and give this card -10 Power for the rest of the Game.","[TriggerTime:DRAW] [Effect:BURN, Value:22] [Target:(a random card in your Opponent's hand)] [Duration:UNTIL_PLAYED] [Target:THIS] [Effect:POWER, Value:-10] [Duration:PERMANENT]","[]"
"59","LRE019","Slender Glass Lizard","0","Epic","Reptiles","3","18","When drawn, give a random card in your hand +20 Power until played.","[TriggerTime:DRAW] [Target:(a random card in your hand)] [Effect:POWER, Value:+20] [Duration:UNTIL_PLAYED]","[]"
"60","LRE021","Gharial","1","Rare","Reptiles","4","55","When played, if you are losing the round, give this card -40 Power this turn.","[TriggerTime:PLAY] [Condition:ROUND_STATE, Value:Loss] [Target:THIS] [Effect:POWER, Value:-40] [Duration:END_TURN] ","[]"
"61","LRE025","Olive Python","1","Rare","Reptiles","3","18","When played, give your Reptiles and Ocean Reptiles cards +14 Power this round.","[TriggerTime:PLAY] [Target:(your Reptiles and Ocean Reptiles cards)] [Effect:POWER, Value:+14] [Duration:END_ROUND] ","[Reptiles]"
"62","LRE026","Mary River Turtle","1","Epic","Reptiles","4","37","When returned to your deck, if your deck contains Algae, give your Raging Rivers cards +20 Power until played.","[TriggerTime:RETURN] [Condition:DECK_CONTAINS, Who:SELF, Where:CARDS_IN_DECK, CompareTo:(Algae)] [Target:(your Raging Rivers cards)] [Effect:POWER, Value:+20] [Duration:UNTIL_PLAYED]","[Raging Rivers]"
"63","LRE027","Satanic Leaf-Tailed Gecko","0","Legendary","Reptiles","7","70","When played, give this card +80 Power, and give adjacent cards -34 Power, this turn.","[TriggerTime:PLAY] [Target:THIS] [Effect:POWER, Value:+80] [Target:(adjacent cards)] [Effect:POWER, Value:-34] [Duration:END_TURN] ","[]"
"64","LRE029","Lace Monitor","0","Rare","Reptiles","5","44","When played, give your Tremendous Trees cards +8 Power until played.","[TriggerTime:PLAY] [Target:(your Tremendous Trees cards)] [Effect:POWER, Value:+8] [Duration:UNTIL_PLAYED]","[Tremendous Trees]"
"65","LRE031","Cryptic Skink","0","Legendary","Reptiles","9","90","When played next to any Mega Math card, give your Reptiles cards, even if they're in your deck, +6 Power permanently.","[TriggerTime:PLAY] [Condition:PLAYED_WITH, Value:(any Mega Math card)] [Target:(your Reptiles cards, even if they're in your deck,)] [Effect:POWER, Value:+6] [Duration:PERMANENT] ","[Reptiles]"
"66","LMA001","Coati","0","Common","Mammals","6","52","NULL","NULL","[]"
"67","LMA002","Tayra","0","Common","Mammals","5","45","NULL","NULL","[]"
"68","LMA003","Capybara","0","Common","Mammals","4","34","NULL","NULL","[]"
"69","LMA006","Vampire Bat","0","Rare","Mammals","1","9","When played, your Opponent has -5 Power/Turn for the rest of this round.","[TriggerTime:PLAY] [Target:OTHER] [Effect:POWER_PER_TURN, Value:-5] [Duration:END_ROUND] ","[]"
"70","LMA007","Tamandua","0","Common","Mammals","2","16","NULL","NULL","[]"
"71","LMA008","Kinkajou","0","Common","Mammals","3","28","NULL","NULL","[]"
"72","LMA009","Agouti","0","Common","Mammals","5","43","NULL","NULL","[]"
"73","LMA010","Tapir","0","Rare","Mammals","10","76","When drawn, your cards have +10 Power this turn.","[TriggerTime:DRAW] [Effect:POWER, Value:+10] [Target:[Who:SELF, Where:CARDS_IN_DECK]] [Duration:END_TURN] ","[]"
"74","LMA011","Brown Bear","0","Legendary","Mammals","4","42","When returned to your deck, if you are winning the round, gain +4 Energy.","[TriggerTime:RETURN] [Condition:ROUND_STATE, Value:Win] [Target:SELF] [Effect:ENERGY, Value:+4]","[]"
"75","LMA012","Okapi","0","Epic","Mammals","7","58","When played, your Opponent's cards have -10 Power this turn.","[TriggerTime:PLAY] [Target:(Opponent's)] [Effect:POWER, Value:-10] [Duration:END_TURN] ","[]"
"76","LMA013","Giant Anteater","0","Common","Mammals","6","52","NULL","NULL","[]"
"77","LMA014","Peccary Hog","0","Common","Mammals","9","58","When drawn, gain +3 Energy.","[TriggerTime:DRAW] [Target:SELF] [Effect:ENERGY, Value:+3]","[]"
"78","LMA015","Grizzly Bear","0","Fusion","Mammals","5","30","When played, if you are winning the round, this card has +50 Power.","[TriggerTime:PLAY] [Condition:ROUND_STATE, Value:Win] [Effect:POWER, Value:+50] [Target:THIS] [Duration:END_TURN] ","[]"
"79","LMA016","Hippopotamus","1","Epic","Mammals","5","46","When drawn, give your Opponent -15 Power/turn for the rest of the round.","[TriggerTime:DRAW] [Target:OTHER] [Effect:POWER_PER_TURN, Value:-15] [Duration:END_ROUND]","[]"
"80","LMA018","African Elephant","0","Legendary","Mammals","6","58","When played, give Mastodon and Woolly Mammoth +20 Power until they are played.","[TriggerTime:PLAY] [Target:(Mastodon and Woolly Mammoth)] [Effect:POWER, Value:+20] [Duration:UNTIL_PLAYED]","[Mastodon]"
"81","LMA021","Sun Bear","0","Epic","Mammals","6","53","When returned to your deck, if you are losing this round, gain +5 Energy/turn next turn.","[TriggerTime:RETURN] [Condition:ROUND_STATE, Value:Loss] [Duration:END_ROUND] [Target:SELF] [Effect:ENERGY_PER_TURN, Value:+5] [Duration:TIMER, Value:1]","[]"
"82","LMA023","Groundhog","1","Epic","Mammals","6","65","When played, give yourself -2 Energy/Turn for the rest of the round. If you win the turn, gain +5 Energy/Turn for the rest of the round.","[TriggerTime:PLAY] [Target:SELF] [Effect:ENERGY_PER_TURN, Value:-2] [Duration:END_ROUND] [TriggerTime:RETURN] [Target:SELF] [Effect:ENERGY_PER_TURN, Value:5] [Duration:END_ROUND] [Condition:TURN_STATE, Value:Win]","[]"
"83","LMA026","Bighorn Sheep","1","Rare","Mammals","3","25","When played, gain +3 Power/Turn for the rest of the game.","[TriggerTime:PLAY] [Target:SELF] [Effect:POWER_PER_TURN, Value:+3] [Duration:PERMANENT]","[]"
"84","LMA031","Red Panda","1","Epic","Mammals","7","68","When returned to your deck, give your Plant Life, Curious Cuisine and Carnivores cards +22 Power this round.","[TriggerTime:RETURN] [Target:(your Plant Life, Curious Cuisine and Carnivores cards)] [Effect:POWER, Value:+22] [Duration:END_ROUND] ","[Plant Life]"
"85","LMA032","Siberian Musk Deer","1","Epic","Mammals","2","22","When returned to your deck, give Vampire Bat and Count Dracula +50 Power until played, and reduce the Energy cost of Count Dracula by 2 until played.","[TriggerTime:RETURN] [Target:(Vampire Bat and Count Dracula)] [Effect:POWER, Value:+50] [Duration:UNTIL_PLAYED] [Effect:ENERGY, Value:-2] [Target:(Count Dracula)] [Duration:UNTIL_PLAYED]","[Vampire Bat,Count Dracula]"
"86","LMA033","Sunda Colugo","1","Rare","Mammals","2","18","When drawn, if your deck contains 4 or more Tremendous Trees cards, give this card +40 Power until played.","[TriggerTime:DRAW] [Condition:DECK_CONTAINS, Value:>=4, CountEach:[Who:SELF, Where:CARDS_IN_DECK, CompareTo:(Tremendous Trees cards)]] [Target:THIS] [Effect:POWER, Value:+40] [Duration:UNTIL_PLAYED]","[]"
"87","LMA035","Silver Fox","0","Common","Mammals","7","65","When drawn, give your Dogs cards +16 Power until the end of this round.","[TriggerTime:DRAW] [Target:(your Dogs cards)] [Effect:POWER, Value:+16] [Duration:END_ROUND]","[Dogs]"
"88","LMA036","Markhor","0","Epic","Mammals","6","98","When played, give your Opponent +24 Power/Turn for the rest of the round.","[TriggerTime:PLAY] [Target:OTHER] [Effect:POWER_PER_TURN, Value:+24] [Duration:END_ROUND]","[]"
"89","LMA037","Arabian Horse","1","Legendary","Mammals","9","80","When played, if you are winning the round, give this card +100 Power this turn.","[TriggerTime:PLAY] [Condition:ROUND_STATE, Value:Win] [Target:THIS] [Effect:POWER, Value:+100] [Duration:END_TURN] ","[]"
"90","LMA038","Striped Hyena","1","Rare","Mammals","5","38","When drawn, if your deck contains Laff Box, give your Life on Land cards +10 Power for three turns.","[TriggerTime:DRAW] [Condition:DECK_CONTAINS, Who:SELF, Where:CARDS_IN_DECK, CompareTo:(Laff Box)] [Target:(your Life on Land cards)] [Effect:POWER, Value:+10] [Duration:TIMER, Values:(three)]","[Life on Land]"
"91","LMA039","Eastern Spotted Skunk","1","Epic","Mammals","5","52","When drawn, if your deck contains Smell, give your Opponent -20 Power/turn this turn & next. When returned to your deck, gain +5 Power/turn next turn.","[TriggerTime:DRAW] [Condition:DECK_CONTAINS, Who:SELF, Where:CARDS_IN_DECK, CompareTo:(Smell)] [Target:OTHER] [Effect:POWER_PER_TURN, Value:-20] [Duration:TIMER, Value:1] [TriggerTime:RETURN] [Target:SELF] [Effect:POWER_PER_TURN, Value:+5] [Duration:TIMER, Value:1]","[]"
"92","LMA041","Lyle""s Flying Fox","1","Rare","Mammals","3","26","When played, give your Mammals and Birds cards +8 Power until played.","[TriggerTime:PLAY] [Target:(your Mammals and Birds cards)] [Effect:POWER, Value:+8] [Duration:UNTIL_PLAYED]","[Mammals]"
"93","LMA044","Honduran White Bat","0","Rare","Mammals","5","48","When played, if your deck contains Dionysus, give this card +22 Power for the rest of the game. When returned to your deck, if your deck contains Bacchus; God of Wine, reduce this card's Energy cost by 2 for the rest of the game.","[TriggerTime:PLAY] [Condition:DECK_CONTAINS, Who:SELF, Where:CARDS_IN_DECK, CompareTo:(Dionysus)] [Target:THIS] [Effect:POWER, Value:+22] [Duration:PERMANENT] [TriggerTime:RETURN] [Condition:DECK_CONTAINS, Who:SELF, Where:CARDS_IN_DECK, CompareTo:(Bacchus; God of Wine)] [Effect:ENERGY, Value:-2] [Target:(this card's)] [Duration:PERMANENT]","[]"
"94","LMA045","Miniature Donkey","1","Epic","Mammals","1","7","When played, give your Little Critters cards +14 Power this turn & next.","[TriggerTime:PLAY] [Target:(your Little Critters cards)] [Effect:POWER, Value:+14] [Duration:TIMER, Value:1] ","[Little Critters]"
"95","LMA046","Alpaca","1","Legendary","Mammals","5","90","When played, give all other cards -20 Power this turn.","[TriggerTime:PLAY] [Target:(all other cards)] [Effect:POWER, Value:-20] [Duration:END_TURN] ","[]"
"96","LMA047","Andean Bear","1","Legendary","Mammals","3","25","When returned to your deck, give this card +60 Power until played. If your deck contains Glasses, repeat this.","[TriggerTime:RETURN] [Target:THIS] [Effect:POWER, Value:+60] [Duration:UNTIL_PLAYED] [Condition:DECK_CONTAINS, Who:SELF, Where:CARDS_IN_DECK, CompareTo:(Glasses)] [Repeat:( this)] ","[]"
"97","LMA048","Binturong","0","Rare","Mammals","6","59","When played, if you have played Andean Bear this game, give your Cool Cats and Cute Cats cards +10 Power for 4 turns.","[TriggerTime:PLAY] [Condition:PLAYED_BEFORE, Who:SELF, Where:CARDS_IN_DECK, CompareTo:(Andean Bear)] [Target:(your Cool Cats and Cute Cats cards)] [Effect:POWER, Value:+10] [Duration:TIMER, Values:(4)]","[Cool Cats]"
"98","LMA053","Sheep","0","Common","Mammals","5","40","When played, give your Alpaca and Llama cards +20 Power until played.","[TriggerTime:PLAY] [Target:(your Alpaca and Llama cards)] [Effect:POWER, Value:+20] [Duration:UNTIL_PLAYED]","[Alpaca]"
"99","LMA060","Beaver","1","Legendary","Mammals","5","50","When drawn, if you are losing the Round, give your cards +35 Power this turn.","[TriggerTime:DRAW] [Condition:ROUND_STATE, Value:Loss] [Target:(your cards)] [Effect:POWER, Value:+35] [Duration:END_TURN] ","[]"
"100","LDG001","Pug","0","Common","Dogs","1","8","NULL","NULL","[]"
"101","LDG002","Labrador Retriever","0","Common","Dogs","3","24","NULL","NULL","[]"
"102","LDG003","English Bulldog","0","Rare","Dogs","5","46","When returned to your deck, gain +8 Power/Turn for the rest of this round.","[TriggerTime:RETURN] [Target:SELF] [Effect:POWER_PER_TURN, Value:+8] [Duration:END_ROUND] ","[]"
"103","LDG004","Siberian Husky","0","Epic","Dogs","1","6","When played, receive +1 Energy/Turn for the rest of this round.","[TriggerTime:PLAY] [Target:SELF] [Effect:ENERGY_PER_TURN, Value:+1] [Duration:END_ROUND] ","[]"
"104","LDG005","Bloodhound","0","Common","Dogs","7","65","NULL","NULL","[]"
"105","LDG006","Irish Water Spaniel","0","Common","Dogs","2","17","NULL","NULL","[]"
"106","LDG007","Dachshund","0","Common","Dogs","5","44","NULL","NULL","[]"
"107","LDG008","German Shepherd","0","Legendary","Dogs","5","47","When drawn, give your cards +10 Power until played.","[TriggerTime:DRAW] [Target:(your cards)] [Effect:POWER, Value:+10] [Duration:UNTIL_PLAYED]","[]"
"108","LDG009","Poodle","0","Common","Dogs","7","66","NULL","NULL","[]"
"109","LDG010","Rottweiler","0","Common","Dogs","10","93","NULL","NULL","[]"
"110","LDG014","French Bulldog","0","Common","Dogs","2","19","NULL","NULL","[]"
"111","LDG017","Puli","0","Rare","Dogs","7","57","When drawn, Lock a random card in your Opponent's hand this turn.","[TriggerTime:DRAW] [Effect:LOCK] [Target:(a random card in your Opponent's hand)] [Duration:END_TURN] ","[]"
"112","LDG018","Corgi","1","Epic","Dogs","7","64","When returned to your deck, give your Dogs and Unruly Rulers cards +18 Power until played.","[TriggerTime:RETURN] [Target:(your Dogs and Unruly Rulers cards)] [Effect:POWER, Value:+18] [Duration:UNTIL_PLAYED]","[Dogs]"
"113","LDG019","Beagle","1","Epic","Dogs","3","20","When played, give your Dogs cards +12 Power this Round. When returned to your deck, give a random card left in your hand +12 Power until played.","[TriggerTime:PLAY] [Target:(your Dogs cards)] [Effect:POWER, Value:+12] [Duration:END_ROUND] [TriggerTime:RETURN] [Target:(a random card left in your hand)] [Effect:POWER, Value:+12] [Duration:UNTIL_PLAYED]","[Dogs]"
"114","LDG021","Coyote","1","Epic","Dogs","5","50","When drawn, give Roadrunner +20 Power until played and give this card -30 Power this round.","[TriggerTime:DRAW] [Target:(Roadrunner)] [Effect:POWER, Value:+20] [Duration:UNTIL_PLAYED] [Target:THIS] [Effect:POWER, Value:-30] [Duration:END_ROUND] ","[Roadrunner]"
"115","LDG023","Alaskan Malamute","1","Rare","Dogs","7","50","When returned to your deck, give a random card left in your hand +50 Power for the rest of the Round.","[TriggerTime:RETURN] [Target:(a random card left in your hand)] [Effect:POWER, Value:+50] [Duration:END_ROUND]","[]"
"116","LDG022","Dalmatian","1","Epic","Dogs","6","2","When drawn, give this card +99 Power this turn.","[TriggerTime:DRAW] [Target:THIS] [Effect:POWER, Value:+99] [Duration:END_TURN] ","[]"
"117","LDG024","Basset Hound","1","Legendary","Dogs","7","65","When drawn, reduce the Energy cost of your Dogs cards by 1 until played, and give your Cute Cats cards +12 Power until the end of the game.","[TriggerTime:DRAW] [Effect:ENERGY, Value:-1] [Target:(your Dogs cards)] [Duration:UNTIL_PLAYED] [Target:(your Cute Cats cards)] [Effect:POWER, Value:+12] [Duration:PERMANENT]","[Dogs,Cute Cats]"
